Wall time,Step,Value
1565350186.3274207,0,4.079535007476807
1565350461.0838053,1,2.3419244289398193
1565350736.0361135,2,1.2048944234848022
1565351010.5798986,3,0.6917325854301453
1565351285.3276644,4,0.43562260270118713
1565351561.0205781,5,0.2974221110343933
1565351836.6296158,6,0.21932613849639893
1565352111.6631148,7,0.15948203206062317
